SurveyId,WaterId,StationId,Date,Protocol,Uploader,Status,FishCount,SpeciesDetected
SVY-2026-NE-0100,south-platte,SP-04,2026-02-10,Two-Pass Removal,J. Alvarez,Pending Approval,18,"BNT,RBT,WHS"
SVY-2026-NE-0101,cache-la-poudre,PDR-01,2026-02-08,Single-Pass CPUE,K. Singh,Pending Approval,15,"BNT,CTT,CRD"
SVY-2026-NE-0102,south-platte,SP-03,2026-02-06,Two-Pass Removal,M. Chen,Pending Validation,20,"BNT,RBT,RNTR"
SVY-2025-SP-0007,south-platte,SP-04,2025-08-14,Two-Pass Removal,J. Alvarez,Pending Approval,214,"BNT,RBT,WHS"
SVY-2025-SP-0006,south-platte,SP-03,2025-08-03,Electrofishing CPUE,K. Singh,Returned for Correction,167,"BNT,RBT"
SVY-2025-SP-0005,south-platte,SP-01,2025-07-21,Two-Pass Removal,K. Singh,Approved,241,"BNT,RBT,WHS"
SVY-2025-PDR-0012,cache-la-poudre,PDR-02,2025-09-02,Mark-Recapture,M. Chen,Pending Validation,98,"CTT,BNT"
SVY-2025-PDR-0011,cache-la-poudre,PDR-01,2025-08-18,Two-Pass Removal,M. Chen,Approved,132,"CTT,BNT,CRD"
SVY-2025-SV-0004,st-vrain,SV-01,2025-08-28,Single-Pass CPUE,A. Patel,Pending Approval,121,"RBT,BNT,WHS"
SVY-2025-SV-0003,st-vrain,SV-02,2025-08-11,Single-Pass CPUE,A. Patel,Approved,109,"RBT,WHS"
SVY-2025-BT-0009,big-thompson,BT-01,2025-07-30,Electrofishing CPUE,S. Romero,Flagged Suspect,88,"RBT,MWF"
SVY-2025-BT-0008,big-thompson,BT-02,2025-07-12,Single-Pass CPUE,S. Romero,Approved,102,"RBT,MWF,WHS"
SVY-2025-BL-0002,boyd-lake,BL-02,2025-06-22,Electrofishing CPUE,D. Wilson,Pending Approval,64,"LMB,WHS"
SVY-2025-BR-0015,blue-river,BR-02,2025-09-06,Single-Pass CPUE,Statewide Team,Approved,93,"RBT,BNT,MWF"
SVY-2025-CR-0019,colorado-river,CR-01,2025-08-24,Electrofishing CPUE,Statewide Team,Approved,156,"BNT,MWF,WHS"
